,close,returns,retweet,p_pos,p_neg,weighted_sentiment
2017-08-27,4291.64,-0.0074982990185568634,,,,
2017-08-28,4385.62,0.02142912518640456,1613.0,10.542439748059092,6.4575602519408974,291.0
2017-08-29,4608.03,0.04826574479766839,61295.0,223.03523914602218,207.96476085397765,-33537.0
2017-08-30,4630.01,0.00474728996265677,142320.0,714.8151374784363,455.18486252156794,6722.0
2017-08-31,4756.66,0.026625825684408733,84208.0,547.0506676088306,333.94933239116716,17188.0
2017-09-01,4830.57,0.01530047178697335,241942.0,1191.234943157702,530.7650568422985,128992.0
2017-09-02,4667.68,-0.03489742227402037,356778.0,824.543035573236,464.4569644267791,289812.0
2017-09-03,4586.44,-0.017713084658253612,717733.0,931.9987248417889,710.0012751582053,-77881.0
2017-09-04,4293.99,-0.06810681906571739,55756.0,109.60369142490248,66.3963085750976,44700.0
2017-09-05,4513.23,0.04857718308173964,5034.0,13.78304238286094,5.216957617139045,4442.0
2017-09-06,4527.47,0.0031452444742871163,38504.0,152.66230978024282,95.33769021975716,19886.0
2017-09-07,4620.0,0.02002813852813847,1766214.0,654.9320718018449,764.0679281981547,-1654178.0
2017-09-08,4353.31,-0.06126143095713367,551078.0,520.1056325342606,496.8943674657382,72236.0
2017-09-09,4247.01,-0.025029373606372526,10963.0,56.87211705454556,31.127882945454516,2715.0
2017-09-10,4347.57,0.023130162366563276,8398.0,9.237342841467276,11.762657158532763,-8398.0
2017-09-11,4284.94,-0.014616307346193905,26598.0,40.7628795789937,49.237120421006296,-26190.0
2017-09-12,3953.52,-0.08382909407312968,165287.0,618.7149850087552,373.2850149912427,26597.0
2017-09-13,3800.01,-0.04039726211246806,5536.0,11.648895158079611,16.3511048419204,-1450.0
2017-09-14,3367.78,-0.1283427064713253,6379.0,35.19235704202896,22.807642957971094,-229.0
2017-09-15,3823.01,0.1190763299075859,120491.0,334.7316660804645,98.26833391953406,108649.0
2017-09-16,3639.93,-0.05029767055959878,521676.0,1736.0928016473028,799.9071983526632,353348.0
2017-09-17,3791.98,0.04009778532587202,16341.0,23.152179812098005,11.847820187902025,15181.0
2017-09-18,3990.41,0.04972671981074622,163694.0,418.28731402759695,159.7126859724021,149578.0
2017-09-19,3889.51,-0.025941571046224236,51731.0,142.5733262544524,87.42667374554748,16907.0
2017-09-20,3833.36,-0.01464772418974479,355843.0,1053.5002674856987,803.4997325142999,-16045.0
2017-09-21,3704.18,-0.0348741151887868,16505.0,33.783921229368815,30.216078770631132,-3023.0
2017-09-22,3627.21,-0.021220166464031527,33111.0,90.28570951602279,55.71429048397708,1395.0
2017-09-23,3783.03,0.041189205478148506,189818.0,598.1707358808587,536.8292641191404,-52226.0
2017-09-24,3763.97,-0.005063802315108888,109809.0,340.78771294018014,291.21228705981974,38641.0
2017-09-25,3908.2,0.03690445729491838,775.0,1.7724512569891817,2.227548743010818,115.0
2017-09-27,4197.99,0.06232268299829196,1608.0,4.734471486008038,5.265528513991961,958.0
2017-09-28,4057.5,-0.03462476894639551,6642.0,27.768613581524264,9.231386418475731,6642.0
2017-09-29,4196.86,0.03320577765281656,3456.0,35.39229727569354,3.607702724306516,2992.0
2017-09-30,4295.96,0.02306818499241156,6604.0,29.97306165984952,11.026938340150489,4644.0
2017-10-01,4409.01,0.025640676705201433,9669.0,22.050465447786415,48.94953455221371,-6723.0
2017-10-02,4417.01,0.0018111799611049103,1214.0,10.472488150137524,3.527511849862464,92.0
2017-10-03,4300.35,-0.02712802446312506,145603.0,462.4278833947494,236.5721166052489,-17823.0
2017-10-04,4178.82,-0.029082372535787774,1938.0,4.676207007824517,2.3237929921754854,1938.0
2017-10-05,4326.18,0.03406238297990388,10660.0,12.351278192153735,20.64872180784627,-9292.0
2017-10-06,4369.0,0.009800869764248045,258.0,1.3043079614381006,0.6956920385619004,258.0
2017-10-07,4443.0,0.016655413009227998,3917.0,17.901969054519792,10.098030945480225,1781.0
2017-10-08,4631.78,0.040757548933671235,8065.0,44.62932246976218,25.370677530237764,6115.0
2017-10-09,4780.01,0.03101039537574199,820.0,4.465370288165627,6.534629711834372,-506.0
2017-10-10,4735.87,-0.009320357188858716,71860.0,181.47977098011603,132.520229019884,11092.0
2017-10-11,4848.0,0.023129125412541276,84066.0,233.2394660666787,142.76053393332194,35866.0
2017-10-12,5712.01,0.1512619900875524,136278.0,476.23019735295236,328.76980264704616,70066.0
2017-10-14,5795.01,0.023299355825097873,2350.0,9.481862598844662,2.518137401155337,2350.0
2017-10-15,5610.01,-0.03297676831235595,9731.0,28.601058696074187,16.398941303925838,7897.0
2017-10-16,5659.83,0.008802384523916745,8006.0,48.42545654665988,28.57454345334018,5908.0
2017-10-17,5496.01,-0.029807078225840146,4037.0,28.848745610873294,9.15125438912675,2023.0
2017-10-18,5631.63,0.02408183776277914,3030.0,10.139536601751672,9.860463398248326,334.0
2017-10-19,5690.62,0.010366181540851399,7590.0,18.105455856544534,4.894544143455466,7410.0
